,sample_id,study,project,condition,rep_id,Strain Description,Strain,Culture Type,Evolved Sample,Base Media,Temperature (C),pH,Carbon Source (g/L),Nitrogen Source (g/L),Electron Acceptor,Trace Element Mixture,Supplement,Antibiotic for selection,Growth Rate (1/hr),Isolate Type,Additional Details,project_reference,Sequencing Machine,LibraryLayout,Platform,Biological Replicates,DOI,GEO,SRX,Run,R1,R2,contact,creator,passed_fastqc,passed_pct_reads_mapped,passed_reads_mapped_to_CDS,passed_global_correlation,full_name,passed_similar_replicates,passed_number_replicates,run_date
p1k_00502,tcs__wt_LiAcet__2,Two Component Systems,tcs,wt_LiAcet,2,Escherichia coli K-12 MG1655,MG1655,Batch,No,M9,37,7,glucose(4),NH4Cl(1),O2,,Acetoacetate/LiCl(10mM),,,,,p1k_00505;p1k_00506,,PAIRED,ILLUMINA,2,,,,,s3://precise-db/raw_data/tcs/2CS_CHX_WT10mMLi-AcetR2_S12_R1_001.fastq.gz,s3://precise-db/raw_data/tcs/2CS_CHX_WT10mMLi-AcetR2_S12_R2_001.fastq.gz,Katherine Decker,Julia Kleinmanns,TRUE,TRUE,TRUE,TRUE,tcs:wt_LiAcet,TRUE,TRUE,9/20/19
p1k_00503,tcs__wt_LiCl__1,Two Component Systems,tcs,wt_LiCl,1,Escherichia coli K-12 MG1655,MG1655,Batch,No,M9,37,7,glucose(4),NH4Cl(1),O2,,LiCl(10mM),,,,,p1k_00505;p1k_00506,,PAIRED,ILLUMINA,2,,,,,s3://precise-db/raw_data/tcs/2CS_CHX_WT10mMLiCl2R1_S13_R1_001.fastq.gz,s3://precise-db/raw_data/tcs/2CS_CHX_WT10mMLiCl2R1_S13_R2_001.fastq.gz,Katherine Decker,Julia Kleinmanns,TRUE,TRUE,TRUE,TRUE,tcs:wt_LiCl,TRUE,TRUE,9/20/19
p1k_00504,tcs__wt_LiCl__2,Two Component Systems,tcs,wt_LiCl,2,Escherichia coli K-12 MG1655,MG1655,Batch,No,M9,37,7,glucose(4),NH4Cl(1),O2,,LiCl(10mM),,,,,p1k_00505;p1k_00506,,PAIRED,ILLUMINA,2,,,,,s3://precise-db/raw_data/tcs/2CS_CHX_WT10mMLiCl2R2_S14_R1_001.fastq.gz,s3://precise-db/raw_data/tcs/2CS_CHX_WT10mMLiCl2R2_S14_R2_001.fastq.gz,Katherine Decker,Julia Kleinmanns,TRUE,TRUE,TRUE,TRUE,tcs:wt_LiCl,TRUE,TRUE,9/20/19
p1k_00505,tcs__wt_m9p__1,Two Component Systems,tcs,wt_m9p,1,Escherichia coli K-12 MG1655,MG1655,Batch,No,M9P,37,7,glucose(4),NH4Cl(1),O2,,,,,,,p1k_00505;p1k_00506,,PAIRED,ILLUMINA,2,doi.org/10.1128/mSystems.00980-20,GSE143855,SRX7575771,SRR10907664,s3://precise-db/raw_data/tcs/2CS_CHX_WTM9-PR1_S3_R1_001.fastq.gz,s3://precise-db/raw_data/tcs/2CS_CHX_WTM9-PR1_S3_R2_001.fastq.gz,Katherine Decker,Julia Kleinmanns,TRUE,TRUE,TRUE,TRUE,tcs:wt_m9p,TRUE,TRUE,9/20/19
p1k_00506,tcs__wt_m9p__2,Two Component Systems,tcs,wt_m9p,2,Escherichia coli K-12 MG1655,MG1655,Batch,No,M9P,37,7,glucose(4),NH4Cl(1),O2,,,,,,,p1k_00505;p1k_00506,,PAIRED,ILLUMINA,2,doi.org/10.1128/mSystems.00980-20,GSE143855,SRX7575772,SRR10907665,s3://precise-db/raw_data/tcs/2CS_CHX_WTM9-PR2_S4_R1_001.fastq.gz,s3://precise-db/raw_data/tcs/2CS_CHX_WTM9-PR2_S4_R2_001.fastq.gz,Katherine Decker,Julia Kleinmanns,TRUE,TRUE,TRUE,TRUE,tcs:wt_m9p,TRUE,TRUE,9/20/19
p1k_00507,tcs__wt_pyr__1,Two Component Systems,tcs,wt_pyr,1,Escherichia coli K-12 MG1655,MG1655,Batch,No,01xLB,37,7,,,O2,,Pyruvate(100uM),,,,,p1k_00505;p1k_00506,,PAIRED,ILLUMINA,2,,,,,s3://precise-db/raw_data/tcs/2CR_HRS_MG1655_pyruvate_1_S13_R1_001.fastq.gz,s3://precise-db/raw_data/tcs/2CR_HRS_MG1655_pyruvate_1_S13_R2_001.fastq.gz,Katherine Decker,Julia Kleinmanns,TRUE,TRUE,TRUE,TRUE,tcs:wt_pyr,TRUE,TRUE,6/27/19
p1k_00508,tcs__wt_pyr__2,Two Component Systems,tcs,wt_pyr,2,Escherichia coli K-12 MG1655,MG1655,Batch,No,01xLB,37,7,,,O2,,Pyruvate(100uM),,,,,p1k_00505;p1k_00506,,PAIRED,ILLUMINA,2,,,,,s3://precise-db/raw_data/tcs/2CR_HRS_MG1655_pyruvate_2_S14_R1_001.fastq.gz,s3://precise-db/raw_data/tcs/2CR_HRS_MG1655_pyruvate_2_S14_R2_001.fastq.gz,Katherine Decker,Julia Kleinmanns,TRUE,TRUE,TRUE,TRUE,tcs:wt_pyr,TRUE,TRUE,6/27/19
p1k_00509,tcs__wt_zncl2__1,Two Component Systems,tcs,wt_zncl2,1,Escherichia coli K-12 MG1655,MG1655,Batch,No,LB,37,7,,,O2,,ZnCl2(1mM),,,,,p1k_00505;p1k_00506,,PAIRED,ILLUMINA,2,doi.org/10.1128/mSystems.00980-20,GSE143855,SRX7575777,SRR10907670,s3://precise-db/raw_data/tcs/2CS_CHX_WT_1_mM_ZnCl2_R1_S29_R1_001.fastq.gz,s3://precise-db/raw_data/tcs/2CS_CHX_WT_1_mM_ZnCl2_R1_S29_R2_001.fastq.gz,Katherine Decker,Julia Kleinmanns,TRUE,TRUE,TRUE,TRUE,tcs:wt_zncl2,TRUE,TRUE,9/23/19
p1k_00510,tcs__wt_zncl2__2,Two Component Systems,tcs,wt_zncl2,2,Escherichia coli K-12 MG1655,MG1655,Batch,No,LB,37,7,,,O2,,ZnCl2(1mM),,,,,p1k_00505;p1k_00506,,PAIRED,ILLUMINA,2,doi.org/10.1128/mSystems.00980-20,GSE143855,SRX7575778,SRR10907671,s3://precise-db/raw_data/tcs/2CS_CHX_WT_1_mM_ZnCl2_R2_S30_R1_001.fastq.gz,s3://precise-db/raw_data/tcs/2CS_CHX_WT_1_mM_ZnCl2_R2_S30_R2_001.fastq.gz,Katherine Decker,Julia Kleinmanns,TRUE,TRUE,TRUE,TRUE,tcs:wt_zncl2,TRUE,TRUE,9/23/19
p1k_00612,ros_tale__0_0_0pq__1,ROS TALE,ros_tale,0_0_0pq,1,Escherichia coli ERS.ALE4,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,,,,Clonal,,p1k_00001;p1k_00002,HiSeq,PAIRED,ILLUMINA,2,doi.org/10.1101/749887 ,GSE134256,,,s3://precise-db/raw_data/ros_tale/ERS_HRS_ALE4A_0PQ_RNA_S24_L007_R1_001.fastq.gz,s3://precise-db/raw_data/ros_tale/ERS_HRS_ALE4A_0PQ_RNA_S24_L007_R2_001.fastq.gz,Kevin Rychel,Justin Tan,TRUE,TRUE,TRUE,TRUE,ros_tale:0_0_0pq,TRUE,TRUE,11/28/17
p1k_00613,ros_tale__0_0_0pq__2,ROS TALE,ros_tale,0_0_0pq,2,Escherichia coli ERS.ALE4,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,,,,Clonal,,p1k_00001;p1k_00002,HiSeq,PAIRED,ILLUMINA,2,doi.org/10.1101/749887 ,GSE134256,,,s3://precise-db/raw_data/ros_tale/ERS_HRS_ALE4B_0PQ_RNA_S23_L007_R1_001.fastq.gz,s3://precise-db/raw_data/ros_tale/ERS_HRS_ALE4B_0PQ_RNA_S23_L007_R2_001.fastq.gz,Kevin Rychel,Justin Tan,TRUE,TRUE,TRUE,TRUE,ros_tale:0_0_0pq,TRUE,TRUE,11/28/17
p1k_00614,ros_tale__0_0_250pq__1,ROS TALE,ros_tale,0_0_250pq,1,Escherichia coli ERS.ALE4,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,paraquat (250uM),,,Clonal,,p1k_00001;p1k_00002,HiSeq,PAIRED,ILLUMINA,2,doi.org/10.1101/749887 ,GSE134256,,,s3://precise-db/raw_data/ros_tale/ERS_HRS_ALE4A_PQ_RNA_S27_L007_R1_001.fastq.gz,s3://precise-db/raw_data/ros_tale/ERS_HRS_ALE4A_PQ_RNA_S27_L007_R2_001.fastq.gz,Kevin Rychel,Justin Tan,TRUE,TRUE,TRUE,TRUE,ros_tale:0_0_250pq,TRUE,TRUE,11/28/17
p1k_00615,ros_tale__0_0_250pq__2,ROS TALE,ros_tale,0_0_250pq,2,Escherichia coli ERS.ALE4,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,paraquat (250uM),,,Clonal,,p1k_00001;p1k_00002,HiSeq,PAIRED,ILLUMINA,2,doi.org/10.1101/749887 ,GSE134256,,,s3://precise-db/raw_data/ros_tale/ERS_HRS_ALE4B_PQ_RNA_S26_L007_R1_001.fastq.gz,s3://precise-db/raw_data/ros_tale/ERS_HRS_ALE4B_PQ_RNA_S26_L007_R2_001.fastq.gz,Kevin Rychel,Justin Tan,TRUE,TRUE,TRUE,TRUE,ros_tale:0_0_250pq,TRUE,TRUE,11/28/17
p1k_00558,ros_tale__1_mid_250pq__1,ROS TALE,ros_tale,1_mid_250pq,1,Escherichia coli ERS.16.28,GMOS,Batch,Midpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,paraquat (250uM),,,Clonal,,p1k_00001;p1k_00002,HiSeq,PAIRED,ILLUMINA,2,doi.org/10.1101/749887 ,GSE134256,,,s3://precise-db/raw_data/ros_tale/ROSHRS_16-28A_RNA_rerun_S93_L004_R1_001.fastq.gz,s3://precise-db/raw_data/ros_tale/ROSHRS_16-28A_RNA_rerun_S93_L004_R2_001.fastq.gz,Kevin Rychel,Justin Tan,TRUE,TRUE,TRUE,TRUE,ros_tale:1_mid_250pq,TRUE,TRUE,11/28/17
p1k_00559,ros_tale__1_mid_250pq__2,ROS TALE,ros_tale,1_mid_250pq,2,Escherichia coli ERS.16.28,GMOS,Batch,Midpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,paraquat (250uM),,,Clonal,,p1k_00001;p1k_00002,HiSeq,PAIRED,ILLUMINA,2,doi.org/10.1101/749887 ,GSE134256,,,s3://precise-db/raw_data/ros_tale/ROSHRS_16-28B_RNA_rerun_S89_L004_R1_001.fastq.gz,s3://precise-db/raw_data/ros_tale/ROSHRS_16-28B_RNA_rerun_S89_L004_R2_001.fastq.gz,Kevin Rychel,Justin Tan,TRUE,TRUE,TRUE,TRUE,ros_tale:1_mid_250pq,TRUE,TRUE,11/28/17
p1k_00562,ros_tale__1_0_0pq__3,ROS TALE,ros_tale,1_0_0pq,3,Escherichia coli ERS.16.32,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,,,,Clonal,,p1k_00001;p1k_00002,HiSeq,PAIRED,ILLUMINA,4,doi.org/10.1101/749887 ,GSE134256,,,s3://precise-db/raw_data/ros_tale/ERS_HRS_16_32A_0PQ_S0_L000_R1_001.fastq.gz,s3://precise-db/raw_data/ros_tale/ERS_HRS_16_32A_0PQ_S0_L000_R2_001.fastq.gz,Kevin Rychel,Justin Tan,TRUE,TRUE,TRUE,TRUE,ros_tale:1_0_0pq,TRUE,TRUE,11/28/17
p1k_00563,ros_tale__1_0_0pq__4,ROS TALE,ros_tale,1_0_0pq,4,Escherichia coli ERS.16.32,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,,,,Clonal,,p1k_00001;p1k_00002,HiSeq,PAIRED,ILLUMINA,4,doi.org/10.1101/749887 ,GSE134256,,,s3://precise-db/raw_data/ros_tale/ERS_HRS_16_32B_0PQ_S0_L000_R1_001.fastq.gz,s3://precise-db/raw_data/ros_tale/ERS_HRS_16_32B_0PQ_S0_L000_R2_001.fastq.gz,Kevin Rychel,Justin Tan,TRUE,TRUE,TRUE,TRUE,ros_tale:1_0_0pq,TRUE,TRUE,11/28/17
p1k_00564,ros_tale__1_0_250pq__1,ROS TALE,ros_tale,1_0_250pq,1,Escherichia coli ERS.16.32,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,paraquat (250uM),,,Clonal,,p1k_00001;p1k_00002,HiSeq,PAIRED,ILLUMINA,2,doi.org/10.1101/749887 ,GSE134256,,,s3://precise-db/raw_data/ros_tale/ERS_HRS_16_32A_PQ_S0_L000_R1_001.fastq.gz,s3://precise-db/raw_data/ros_tale/ERS_HRS_16_32A_PQ_S0_L000_R2_001.fastq.gz,Kevin Rychel,Justin Tan,TRUE,TRUE,TRUE,TRUE,ros_tale:1_0_250pq,TRUE,TRUE,11/28/17
p1k_00565,ros_tale__1_0_250pq__2,ROS TALE,ros_tale,1_0_250pq,2,Escherichia coli ERS.16.32,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,paraquat (250uM),,,Clonal,,p1k_00001;p1k_00002,HiSeq,PAIRED,ILLUMINA,2,doi.org/10.1101/749887 ,GSE134256,,,s3://precise-db/raw_data/ros_tale/ERS_HRS_16_32B_PQ_S0_L000_R1_001.fastq.gz,s3://precise-db/raw_data/ros_tale/ERS_HRS_16_32B_PQ_S0_L000_R2_001.fastq.gz,Kevin Rychel,Justin Tan,TRUE,TRUE,TRUE,TRUE,ros_tale:1_0_250pq,TRUE,TRUE,11/28/17
p1k_00566,ros_tale__1_0_750pq__1,ROS TALE,ros_tale,1_0_750pq,1,Escherichia coli ERS.16.32,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,paraquat (750uM),,,Clonal,,p1k_00001;p1k_00002,NextSeq,PAIRED,ILLUMINA,2,doi.org/10.1101/749887 ,GSE134256,,,s3://precise-db/raw_data/ros_tale/ers2__16_32_750pq__1__R1.fastq.gz,s3://precise-db/raw_data/ros_tale/ers2__16_32_750pq__1__R2.fastq.gz,Kevin Rychel,Justin Tan,TRUE,TRUE,TRUE,TRUE,ros_tale:1_0_750pq,TRUE,TRUE,9/20/19
p1k_00567,ros_tale__1_0_750pq__2,ROS TALE,ros_tale,1_0_750pq,2,Escherichia coli ERS.16.32,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,paraquat (750uM),,,Clonal,,p1k_00001;p1k_00002,NextSeq,PAIRED,ILLUMINA,2,doi.org/10.1101/749887 ,GSE134256,,,s3://precise-db/raw_data/ros_tale/ers2__16_32_750pq__2__R1.fastq.gz,s3://precise-db/raw_data/ros_tale/ers2__16_32_750pq__2__R2.fastq.gz,Kevin Rychel,Justin Tan,TRUE,TRUE,TRUE,TRUE,ros_tale:1_0_750pq,TRUE,TRUE,9/20/19
p1k_00540,ros_tale__1_1_0pq__1,ROS TALE,ros_tale,1_1_0pq,1,Escherichia coli ERS.11.83,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,,,,Clonal,,p1k_00001;p1k_00002,NextSeq,PAIRED,ILLUMINA,2,doi.org/10.1101/749887 ,GSE134256,,,s3://precise-db/raw_data/ros_tale/ers2__11_83_0pq__1__R1.fastq.gz,s3://precise-db/raw_data/ros_tale/ers2__11_83_0pq__1__R2.fastq.gz,Kevin Rychel,Justin Tan,TRUE,TRUE,TRUE,TRUE,ros_tale:1_1_0pq,TRUE,TRUE,10/30/19
p1k_00541,ros_tale__1_1_0pq__2,ROS TALE,ros_tale,1_1_0pq,2,Escherichia coli ERS.11.83,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,,,,Clonal,,p1k_00001;p1k_00002,NextSeq,PAIRED,ILLUMINA,2,doi.org/10.1101/749887 ,GSE134256,,,s3://precise-db/raw_data/ros_tale/ers2__11_83_0pq__2__R1.fastq.gz,s3://precise-db/raw_data/ros_tale/ers2__11_83_0pq__2__R2.fastq.gz,Kevin Rychel,Justin Tan,TRUE,TRUE,TRUE,TRUE,ros_tale:1_1_0pq,TRUE,TRUE,10/30/19
p1k_00542,ros_tale__1_1_250pq__1,ROS TALE,ros_tale,1_1_250pq,1,Escherichia coli ERS.11.83,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,paraquat (250uM),,,Clonal,,p1k_00001;p1k_00002,NextSeq,PAIRED,ILLUMINA,2,doi.org/10.1101/749887 ,GSE134256,,,s3://precise-db/raw_data/ros_tale/ers2__11_83_250pq__1__R1.fastq.gz,s3://precise-db/raw_data/ros_tale/ers2__11_83_250pq__1__R2.fastq.gz,Kevin Rychel,Justin Tan,TRUE,TRUE,TRUE,TRUE,ros_tale:1_1_250pq,TRUE,TRUE,10/30/19
p1k_00543,ros_tale__1_1_250pq__2,ROS TALE,ros_tale,1_1_250pq,2,Escherichia coli ERS.11.83,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,paraquat (250uM),,,Clonal,,p1k_00001;p1k_00002,NextSeq,PAIRED,ILLUMINA,2,doi.org/10.1101/749887 ,GSE134256,,,s3://precise-db/raw_data/ros_tale/ers2__11_83_250pq__2__R1.fastq.gz,s3://precise-db/raw_data/ros_tale/ers2__11_83_250pq__2__R2.fastq.gz,Kevin Rychel,Justin Tan,TRUE,TRUE,TRUE,TRUE,ros_tale:1_1_250pq,TRUE,TRUE,10/30/19
p1k_00544,ros_tale__1_1_750pq__1,ROS TALE,ros_tale,1_1_750pq,1,Escherichia coli ERS.11.83,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,paraquat (750uM),,,Clonal,,p1k_00001;p1k_00002,NextSeq,PAIRED,ILLUMINA,2,doi.org/10.1101/749887 ,GSE134256,,,s3://precise-db/raw_data/ros_tale/ers2__11_83_750pq__1__R1.fastq.gz,s3://precise-db/raw_data/ros_tale/ers2__11_83_750pq__1__R2.fastq.gz,Kevin Rychel,Justin Tan,TRUE,TRUE,TRUE,TRUE,ros_tale:1_1_750pq,TRUE,TRUE,10/30/19
p1k_00545,ros_tale__1_1_750pq__2,ROS TALE,ros_tale,1_1_750pq,2,Escherichia coli ERS.11.83,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,paraquat (750uM),,,Clonal,,p1k_00001;p1k_00002,NextSeq,PAIRED,ILLUMINA,2,doi.org/10.1101/749887 ,GSE134256,,,s3://precise-db/raw_data/ros_tale/ers2__11_83_750pq__2__R1.fastq.gz,s3://precise-db/raw_data/ros_tale/ers2__11_83_750pq__2__R2.fastq.gz,Kevin Rychel,Justin Tan,TRUE,TRUE,TRUE,TRUE,ros_tale:1_1_750pq,TRUE,TRUE,10/30/19
p1k_00546,ros_tale__1_2_0pq__1,ROS TALE,ros_tale,1_2_0pq,1,Escherichia coli ERS.13.87,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,,,,Clonal,,p1k_00001;p1k_00002,NextSeq,PAIRED,ILLUMINA,2,doi.org/10.1101/749887 ,GSE134256,,,s3://precise-db/raw_data/ros_tale/ers2__13_87_0pq__1__R1.fastq.gz,s3://precise-db/raw_data/ros_tale/ers2__13_87_0pq__1__R2.fastq.gz,Kevin Rychel,Justin Tan,TRUE,TRUE,TRUE,TRUE,ros_tale:1_2_0pq,TRUE,TRUE,1/21/20
p1k_00547,ros_tale__1_2_0pq__2,ROS TALE,ros_tale,1_2_0pq,2,Escherichia coli ERS.13.87,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,,,,Clonal,,p1k_00001;p1k_00002,NextSeq,PAIRED,ILLUMINA,2,doi.org/10.1101/749887 ,GSE134256,,,s3://precise-db/raw_data/ros_tale/ers2__13_87_0pq__2__R1.fastq.gz,s3://precise-db/raw_data/ros_tale/ers2__13_87_0pq__2__R2.fastq.gz,Kevin Rychel,Justin Tan,TRUE,TRUE,TRUE,TRUE,ros_tale:1_2_0pq,TRUE,TRUE,1/21/20
p1k_00548,ros_tale__1_2_250pq__1,ROS TALE,ros_tale,1_2_250pq,1,Escherichia coli ERS.13.87,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,paraquat (250uM),,,Clonal,,p1k_00001;p1k_00002,NextSeq,PAIRED,ILLUMINA,2,doi.org/10.1101/749887 ,GSE134256,,,s3://precise-db/raw_data/ros_tale/ers2__13_87_250pq__1__R1.fastq.gz,s3://precise-db/raw_data/ros_tale/ers2__13_87_250pq__1__R2.fastq.gz,Kevin Rychel,Justin Tan,TRUE,TRUE,TRUE,TRUE,ros_tale:1_2_250pq,TRUE,TRUE,10/30/19
p1k_00549,ros_tale__1_2_250pq__2,ROS TALE,ros_tale,1_2_250pq,2,Escherichia coli ERS.13.87,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,paraquat (250uM),,,Clonal,,p1k_00001;p1k_00002,NextSeq,PAIRED,ILLUMINA,2,doi.org/10.1101/749887 ,GSE134256,,,s3://precise-db/raw_data/ros_tale/ers2__13_87_250pq__2__R1.fastq.gz,s3://precise-db/raw_data/ros_tale/ers2__13_87_250pq__2__R2.fastq.gz,Kevin Rychel,Justin Tan,TRUE,TRUE,TRUE,TRUE,ros_tale:1_2_250pq,TRUE,TRUE,10/30/19
p1k_00550,ros_tale__1_2_750pq__1,ROS TALE,ros_tale,1_2_750pq,1,Escherichia coli ERS.13.87,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,paraquat (750uM),,,Clonal,,p1k_00001;p1k_00002,NextSeq,PAIRED,ILLUMINA,2,doi.org/10.1101/749887 ,GSE134256,,,s3://precise-db/raw_data/ros_tale/ers2__13_87_750pq__1__R1.fastq.gz,s3://precise-db/raw_data/ros_tale/ers2__13_87_750pq__1__R2.fastq.gz,Kevin Rychel,Justin Tan,TRUE,TRUE,TRUE,TRUE,ros_tale:1_2_750pq,TRUE,TRUE,1/21/20
p1k_00551,ros_tale__1_2_750pq__2,ROS TALE,ros_tale,1_2_750pq,2,Escherichia coli ERS.13.87,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,paraquat (750uM),,,Clonal,,p1k_00001;p1k_00002,NextSeq,PAIRED,ILLUMINA,2,doi.org/10.1101/749887 ,GSE134256,,,s3://precise-db/raw_data/ros_tale/ers2__13_87_750pq__2__R1.fastq.gz,s3://precise-db/raw_data/ros_tale/ers2__13_87_750pq__2__R2.fastq.gz,Kevin Rychel,Justin Tan,TRUE,TRUE,TRUE,TRUE,ros_tale:1_2_750pq,TRUE,TRUE,1/21/20
p1k_00568,ros_tale__1_3_0pq__1,ROS TALE,ros_tale,1_3_0pq,1,Escherichia coli ERS.17.104,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,,,,Clonal,,p1k_00001;p1k_00002,NextSeq,PAIRED,ILLUMINA,2,doi.org/10.1101/749887 ,GSE134256,,,s3://precise-db/raw_data/ros_tale/ers2__17_104_0pq__1__R1.fastq.gz,s3://precise-db/raw_data/ros_tale/ers2__17_104_0pq__1__R2.fastq.gz,Kevin Rychel,Justin Tan,TRUE,TRUE,TRUE,TRUE,ros_tale:1_3_0pq,TRUE,TRUE,1/21/20
p1k_00569,ros_tale__1_3_0pq__2,ROS TALE,ros_tale,1_3_0pq,2,Escherichia coli ERS.17.104,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,,,,Clonal,,p1k_00001;p1k_00002,NextSeq,PAIRED,ILLUMINA,2,doi.org/10.1101/749887 ,GSE134256,,,s3://precise-db/raw_data/ros_tale/ers2__17_104_0pq__2__R1.fastq.gz,s3://precise-db/raw_data/ros_tale/ers2__17_104_0pq__2__R2.fastq.gz,Kevin Rychel,Justin Tan,TRUE,TRUE,TRUE,TRUE,ros_tale:1_3_0pq,TRUE,TRUE,1/21/20
p1k_00570,ros_tale__1_3_250pq__1,ROS TALE,ros_tale,1_3_250pq,1,Escherichia coli ERS.17.104,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,paraquat (250uM),,,Clonal,,p1k_00001;p1k_00002,NovaSeq,PAIRED,ILLUMINA,4,doi.org/10.1101/749887 ,GSE134256,,,s3://precise-db/raw_data/ros_tale/ers2__17_104_250pq__1__R1.fastq.gz,s3://precise-db/raw_data/ros_tale/ers2__17_104_250pq__1__R2.fastq.gz,Kevin Rychel,Justin Tan,TRUE,TRUE,TRUE,TRUE,ros_tale:1_3_250pq,TRUE,TRUE,1/16/20
p1k_00571,ros_tale__1_3_250pq__2,ROS TALE,ros_tale,1_3_250pq,2,Escherichia coli ERS.17.104,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,paraquat (250uM),,,Clonal,,p1k_00001;p1k_00002,NovaSeq,PAIRED,ILLUMINA,4,doi.org/10.1101/749887 ,GSE134256,,,s3://precise-db/raw_data/ros_tale/ers2__17_104_250pq__2__R1.fastq.gz,s3://precise-db/raw_data/ros_tale/ers2__17_104_250pq__2__R2.fastq.gz,Kevin Rychel,Justin Tan,TRUE,TRUE,TRUE,TRUE,ros_tale:1_3_250pq,TRUE,TRUE,1/16/20
p1k_00572,ros_tale__1_3_250pq__3,ROS TALE,ros_tale,1_3_250pq,3,Escherichia coli ERS.17.104,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,paraquat (250uM),,,Clonal,Spacer development test,p1k_00001;p1k_00002,NovaSeq,PAIRED,ILLUMINA,4,doi.org/10.1101/749887 ,GSE134256,,,s3://precise-db/raw_data/ros_tale/ers2__17_104_250pq__3__R1.fastq.gz,s3://precise-db/raw_data/ros_tale/ers2__17_104_250pq__3__R2.fastq.gz,Kevin Rychel,Justin Tan,TRUE,TRUE,TRUE,TRUE,ros_tale:1_3_250pq,TRUE,TRUE,1/16/20
p1k_00573,ros_tale__1_3_250pq__4,ROS TALE,ros_tale,1_3_250pq,4,Escherichia coli ERS.17.104,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,paraquat (250uM),,,Clonal,Spacer development test,p1k_00001;p1k_00002,NovaSeq,PAIRED,ILLUMINA,4,doi.org/10.1101/749887 ,GSE134256,,,s3://precise-db/raw_data/ros_tale/ers2__17_104_250pq__4__R1.fastq.gz,s3://precise-db/raw_data/ros_tale/ers2__17_104_250pq__4__R2.fastq.gz,Kevin Rychel,Justin Tan,TRUE,TRUE,TRUE,TRUE,ros_tale:1_3_250pq,TRUE,TRUE,1/16/20
p1k_00574,ros_tale__1_3_750pq__1,ROS TALE,ros_tale,1_3_750pq,1,Escherichia coli ERS.17.104,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,paraquat (750uM),,,Clonal,,p1k_00001;p1k_00002,NextSeq,PAIRED,ILLUMINA,2,doi.org/10.1101/749887 ,GSE134256,,,s3://precise-db/raw_data/ros_tale/ers2__17_104_750pq__1__R1.fastq.gz,s3://precise-db/raw_data/ros_tale/ers2__17_104_750pq__1__R2.fastq.gz,Kevin Rychel,Justin Tan,TRUE,TRUE,TRUE,TRUE,ros_tale:1_3_750pq,TRUE,TRUE,1/21/20
